iter	Passed	Remaining
0	169	16797
1	339	16655
2	509	16484
3	679	16300
4	848	16130
5	1025	16063
6	1194	15868
7	1365	15702
8	1538	15559
9	1711	15399
10	1884	15247
11	2057	15085
12	2228	14916
13	2399	14737
14	2569	14560
15	2742	14396
16	2912	14222
17	3082	14040
18	3251	13863
19	3423	13692
20	3593	13516
21	3762	13340
22	3933	13169
23	4103	12995
24	4274	12823
25	4445	12651
26	4615	12477
27	4784	12303
28	4956	12134
29	5126	11960
30	5295	11787
31	5465	11614
32	5636	11444
33	5804	11268
34	5974	11094
35	6143	10922
36	6313	10749
37	6483	10578
38	6654	10407
39	6753	10129
40	6924	9963
41	7091	9793
42	7262	9626
43	7431	9458
44	7603	9292
45	7772	9124
46	7943	8957
47	8115	8791
48	8284	8622
49	8455	8455
50	8626	8288
51	8796	8119
52	8966	7951
53	9135	7782
54	9308	7615
55	9482	7450
56	9654	7283
57	9825	7115
58	9996	6946
59	10168	6779
60	10341	6611
61	10512	6443
62	10683	6274
63	10854	6105
64	11021	5934
65	11190	5764
66	11359	5595
67	11530	5425
68	11698	5255
69	11868	5086
70	12037	4916
71	12206	4747
72	12378	4578
73	12547	4408
74	12718	4239
75	12887	4069
76	13057	3900
77	13228	3731
78	13398	3561
79	13569	3392
80	13738	3222
81	13907	3052
82	14077	2883
83	14249	2714
84	14420	2544
85	14589	2374
86	14757	2205
87	14927	2035
88	15098	1866
89	15270	1696
90	15440	1527
91	15497	1347
92	15666	1179
93	15834	1010
94	16002	842
95	16172	673
96	16341	505
97	16511	336
98	16681	168
99	16852	0
