iter	Logloss
0	0.6928090875
5	0.6911143362
10	0.6894408726
15	0.687742904
20	0.6860498686
25	0.6843647155
30	0.6827031021
35	0.6810449204
40	0.6793741378
45	0.6777119882
50	0.6760720913
55	0.6744529995
60	0.6728291891
65	0.6711967992
70	0.6695590472
75	0.667947087
80	0.6663314806
85	0.6647418268
90	0.6631433792
95	0.6615517414
100	0.6599820884
105	0.6584133469
110	0.6568321116
115	0.6552483026
120	0.6536914113
125	0.6521344665
130	0.6505927501
135	0.6490199334
140	0.6474481354
145	0.645937144
150	0.6444084039
155	0.6428760175
160	0.6413401994
165	0.6398308702
170	0.6383214337
175	0.6368176811
180	0.6353354842
185	0.6338200421
190	0.6323311426
195	0.6308463182
200	0.6293812265
205	0.6279243924
210	0.6264323828
215	0.6249739401
220	0.623515122
225	0.6220464913
230	0.6206063334
235	0.6191636017
240	0.6177288595
245	0.6163085415
250	0.6148703139
255	0.6134534813
260	0.6120577217
265	0.6106530074
270	0.6092326357
