iter	Passed	Remaining
0	10	104371
1	20	100769
2	29	99947
3	39	98460
4	49	99072
5	60	99951
6	69	99233
7	80	101019
8	93	104347
9	106	106114
10	117	106454
11	127	106230
12	137	105297
13	147	105564
14	158	105623
15	168	105235
16	179	105287
17	189	105080
18	199	104907
19	209	104697
20	219	104423
21	231	105045
22	242	105239
23	253	105163
24	263	105189
25	274	105442
26	284	105043
27	294	104815
28	304	104621
29	314	104568
30	325	104684
31	335	104610
32	346	104556
33	356	104429
34	366	104357
35	376	104236
36	385	103919
37	396	103907
38	406	103866
39	417	103912
40	428	104014
41	438	103957
42	449	103975
43	459	103878
44	468	103661
45	478	103645
46	488	103408
47	498	103450
48	509	103449
49	518	103241
50	529	103288
51	539	103150
52	549	103156
53	560	103153
54	569	103030
55	580	103042
56	591	103105
57	600	102994
58	610	102943
59	620	102800
60	630	102809
61	641	102828
62	651	102781
63	662	102788
64	672	102823
65	682	102797
66	693	102743
67	702	102616
68	712	102570
69	723	102605
70	732	102465
71	742	102402
72	751	102257
73	761	102170
74	771	102120
75	782	102134
76	792	102161
77	802	102053
78	812	102032
79	822	102021
80	832	101917
81	842	101907
82	851	101784
83	861	101721
84	871	101625
85	881	101611
86	892	101637
87	901	101541
88	911	101555
89	921	101452
90	932	101499
91	942	101529
92	952	101453
93	962	101429
94	973	101463
95	983	101428
96	993	101407
97	1003	101344
98	1013	101370
99	1023	101334
100	1033	101339
101	1044	101350
102	1054	101289
103	1064	101260
104	1074	101215
105	1083	101151
106	1093	101140
107	1103	101086
108	1114	101117
109	1124	101097
110	1134	101035
111	1144	101031
112	1153	100968
113	1164	100978
114	1174	100949
115	1184	100950
116	1195	101011
117	1214	101675
118	1224	101674
119	1235	101758
120	1247	101814
121	1257	101817
122	1267	101764
123	1277	101728
124	1287	101707
125	1298	101723
126	1308	101740
127	1318	101726
128	1329	101741
129	1339	101696
130	1349	101689
131	1359	101669
132	1370	101646
133	1380	101621
134	1390	101608
135	1400	101559
136	1410	101567
137	1420	101526
138	1431	101539
139	1441	101534
140	1451	101461
141	1461	101469
142	1472	101495
143	1481	101434
144	1492	101427
145	1501	101362
146	1511	101344
147	1522	101333
148	1532	101304
149	1542	101287
150	1551	101227
151	1562	101209
152	1572	101235
153	1583	101223
154	1593	101236
155	1604	101255
156	1614	101200
157	1624	101188
158	1634	101154
159	1644	101147
160	1654	101123
161	1664	101056
162	1674	101029
163	1683	100990
164	1694	101020
165	1705	101037
166	1715	101014
167	1726	101046
168	1736	101003
169	1746	100984
170	1756	100939
171	1765	100875
172	1776	100902
173	1786	100893
174	1796	100839
175	1806	100842
176	1816	100799
177	1826	100792
178	1836	100777
179	1846	100757
180	1857	100772
181	1867	100734
182	1877	100730
183	1887	100719
184	1897	100659
185	1907	100664
186	1917	100604
187	1927	100586
188	1937	100579
189	1947	100565
190	1958	100572
191	1968	100546
192	1978	100544
193	1988	100513
194	1997	100457
195	2007	100424
196	2017	100414
197	2028	100426
198	2038	100410
199	2048	100352
200	2058	100353
201	2067	100303
202	2078	100311
203	2088	100304
204	2098	100249
205	2108	100236
206	2119	100251
207	2128	100211
208	2139	100206
209	2149	100185
210	2159	100207
211	2169	100185
212	2179	100134
213	2189	100111
214	2198	100059
215	2209	100086
216	2219	100068
217	2229	100035
218	2239	100031
219	2249	100011
220	2260	100021
221	2270	100016
222	2280	99993
223	2291	99990
224	2301	100001
225	2311	99961
226	2321	99927
227	2331	99912
228	2341	99910
229	2352	99926
230	2362	99919
231	2373	99930
232	2384	99970
233	2395	99979
234	2405	99970
235	2415	99933
236	2425	99927
237	2435	99916
238	2445	99869
239	2456	99903
240	2468	99961
241	2478	99949
242	2489	99939
243	2498	99892
244	2508	99895
245	2519	99889
246	2528	99846
247	2538	99831
248	2548	99801
249	2558	99797
250	2568	99768
251	2578	99724
252	2587	99696
253	2597	99656
254	2607	99637
255	2618	99658
256	2628	99646
257	2638	99637
258	2648	99627
259	2660	99662
260	2671	99669
261	2680	99635
262	2690	99618
263	2701	99615
264	2710	99582
265	2721	99578
266	2730	99545
267	2741	99550
268	2751	99530
269	2760	99488
270	2771	99490
271	2781	99483
